task_id,user_id,server_id,generation_time,completion_time,latency
2,3,0,0,34,34
3,4,0,0,34,34
8,9,0,0,34,34
14,16,0,0,34,34
16,18,0,0,34,34
21,23,0,0,34,34
29,31,0,0,34,34
36,38,0,0,34,34
7,8,1,0,34,34
30,32,1,0,34,34
31,33,1,0,34,34
32,34,1,0,34,34
33,35,1,0,34,34
37,39,1,0,34,34
44,47,1,0,34,34
45,48,1,0,34,34
1,2,2,0,34,34
5,6,2,0,34,34
6,7,2,0,34,34
9,11,2,0,34,34
12,14,2,0,34,34
27,29,2,0,34,34
34,36,2,0,34,34
38,40,2,0,34,34
10,12,3,0,34,34
13,15,3,0,34,34
15,17,3,0,34,34
22,24,3,0,34,34
26,28,3,0,34,34
28,30,3,0,34,34
41,44,3,0,34,34
42,45,3,0,34,34
0,1,4,0,34,34
4,5,4,0,34,34
11,13,4,0,34,34
17,19,4,0,34,34
18,20,4,0,34,34
19,21,4,0,34,34
20,22,4,0,34,34
23,25,4,0,34,34
40,43,0,0,69,69
47,0,0,11,69,58
56,7,0,35,69,34
58,9,0,35,69,34
60,12,0,35,69,34
62,14,0,35,69,34
63,15,0,35,69,34
66,18,0,35,69,34
46,49,1,0,69,69
50,1,1,35,69,34
53,4,1,35,69,34
55,6,1,35,69,34
61,13,1,35,69,34
70,22,1,35,69,34
73,25,1,35,69,34
43,46,2,0,69,69
64,16,2,35,69,34
69,21,2,35,69,34
75,29,2,35,69,34
81,35,2,35,69,34
89,48,2,35,69,34
48,41,3,11,69,58
51,2,3,35,69,34
54,5,3,35,69,34
59,11,3,35,69,34
71,23,3,35,69,34
72,24,3,35,69,34
74,28,3,35,69,34
76,30,3,35,69,34
24,26,4,0,69,69
25,27,4,0,69,69
35,37,4,0,69,69
39,42,4,0,69,69
49,10,4,13,69,56
52,3,4,35,69,34
57,8,4,35,69,34
65,17,4,35,69,34
98,8,2,70,88,18
117,29,2,70,88,18
118,30,2,70,88,18
124,46,2,70,88,18
128,30,2,89,98,9
129,46,2,89,98,9
68,20,0,35,104,69
78,32,0,35,104,69
84,39,0,35,104,69
97,7,0,70,104,34
110,22,0,70,104,34
111,23,0,70,104,34
113,25,0,70,104,34
93,3,1,70,104,34
99,9,1,70,104,34
102,12,1,70,104,34
103,13,1,70,104,34
104,14,1,70,104,34
105,15,1,70,104,34
106,16,1,70,104,34
107,17,1,70,104,34
77,31,3,35,104,69
82,36,3,35,104,69
83,38,3,35,104,69
86,44,3,35,104,69
88,47,3,35,104,69
90,0,3,70,104,34
91,1,3,70,104,34
95,5,3,70,104,34
67,19,4,35,104,69
79,33,4,35,104,69
80,34,4,35,104,69
85,40,4,35,104,69
87,45,4,35,104,69
92,2,4,70,104,34
94,4,4,70,104,34
109,21,4,70,104,34
133,0,2,105,123,18
152,25,2,105,123,18
163,47,2,105,123,18
127,8,0,89,139,50
130,29,0,90,139,49
131,46,0,99,139,40
137,4,0,105,139,34
140,9,0,105,139,34
141,12,0,105,139,34
158,38,0,105,139,34
108,18,1,70,139,69
115,27,1,70,139,69
116,28,1,70,139,69
121,41,1,70,139,69
122,42,1,70,139,69
134,1,1,105,139,34
135,2,1,105,139,34
136,3,1,105,139,34
96,6,3,70,139,69
100,10,3,70,139,69
101,11,3,70,139,69
119,35,3,70,139,69
126,49,3,70,139,69
112,24,4,70,139,69
114,26,4,70,139,69
120,37,4,70,139,69
123,43,4,70,139,69
125,48,4,70,139,69
132,30,4,100,139,39
139,7,4,105,139,34
143,14,4,105,139,34
171,6,0,140,158,18
175,10,0,140,158,18
177,12,0,140,158,18
168,2,2,140,158,18
169,3,2,140,158,18
174,9,2,140,158,18
196,3,2,159,164,5
138,5,1,105,174,69
142,13,1,105,174,69
148,20,1,105,174,69
149,21,1,105,174,69
150,22,1,105,174,69
153,31,1,105,174,69
154,32,1,105,174,69
165,47,1,124,174,50
164,25,3,124,174,50
167,1,3,140,174,34
172,7,3,140,174,34
178,14,3,140,174,34
185,30,3,140,174,34
188,38,3,140,174,34
144,15,4,105,174,69
145,16,4,105,174,69
146,17,4,105,174,69
147,19,4,105,174,69
151,23,4,105,174,69
155,33,4,105,174,69
156,34,4,105,174,69
157,36,4,105,174,69
197,6,0,159,177,18
199,10,0,159,177,18
200,12,0,159,177,18
204,7,2,175,184,9
210,19,2,175,184,9
224,10,2,178,189,11
198,9,3,159,193,34
212,21,3,175,193,18
213,22,3,175,193,18
226,6,2,187,194,7
229,21,2,194,200,6
225,12,3,178,203,25
228,10,3,192,203,11
166,0,1,129,209,80
170,4,1,140,209,69
173,8,1,140,209,69
181,26,1,140,209,69
182,27,1,140,209,69
194,49,1,140,209,69
201,3,1,169,209,40
206,14,1,175,209,34
235,10,2,204,209,5
159,39,4,105,209,104
160,40,4,105,209,104
161,44,4,105,209,104
162,45,4,105,209,104
176,11,4,140,209,69
179,18,4,140,209,69
180,24,4,140,209,69
183,28,4,140,209,69
202,1,0,175,212,37
205,13,0,175,212,37
211,20,0,175,212,37
215,25,0,175,212,37
216,30,0,175,212,37
218,32,0,175,212,37
222,38,0,175,212,37
231,6,3,196,221,25
232,19,3,197,221,24
233,21,3,202,221,19
243,14,2,210,228,18
245,24,2,210,228,18
249,39,2,210,228,18
253,49,2,210,228,18
209,17,1,175,244,69
217,31,1,175,244,69
219,33,1,175,244,69
221,36,1,175,244,69
223,47,1,175,244,69
237,0,1,210,244,34
240,8,1,210,244,34
241,10,1,210,244,34
184,29,4,140,244,104
186,35,4,140,244,104
187,37,4,140,244,104
189,41,4,140,244,104
190,42,4,140,244,104
191,43,4,140,244,104
192,46,4,140,244,104
193,48,4,140,244,104
227,7,0,187,247,60
234,9,0,204,247,43
236,12,0,204,247,43
247,27,0,210,247,37
254,1,0,213,247,34
255,13,0,213,247,34
256,20,0,213,247,34
258,30,0,213,247,34
264,14,2,229,247,18
265,24,2,229,247,18
266,39,2,229,247,18
267,49,2,229,247,18
250,40,3,210,256,46
257,25,3,213,256,43
259,32,3,213,256,43
260,38,3,213,256,43
261,21,3,222,256,34
262,6,0,223,265,42
274,35,0,245,265,20
275,36,0,245,265,20
284,7,0,248,265,17
248,28,1,210,279,69
263,19,1,227,279,52
270,10,1,245,279,34
272,29,1,245,279,34
273,31,1,245,279,34
276,37,1,245,279,34
277,42,1,245,279,34
279,46,1,245,279,34
195,2,4,159,279,120
203,5,4,175,279,104
207,15,4,175,279,104
208,16,4,175,279,104
214,23,4,175,279,104
220,34,4,175,279,104
230,22,4,194,279,85
238,3,4,210,279,69
268,0,2,245,282,37
269,8,2,245,282,37
271,17,2,245,282,37
280,47,2,245,282,37
282,33,2,246,282,36
286,12,2,248,282,34
288,14,2,248,282,34
290,24,2,248,282,34
297,25,0,257,283,26
300,40,0,257,283,26
303,35,0,266,283,17
283,1,3,248,291,43
285,9,3,248,291,43
287,13,3,248,291,43
289,20,3,248,291,43
291,27,3,248,291,43
293,39,3,248,291,43
295,49,3,248,291,43
296,21,3,257,291,34
298,32,1,257,314,57
301,6,1,266,314,48
302,7,1,266,314,48
306,5,1,280,314,34
309,16,1,280,314,34
311,22,1,280,314,34
313,28,1,280,314,34
314,29,1,280,314,34
239,4,4,210,314,104
242,11,4,210,314,104
244,18,4,210,314,104
246,26,4,210,314,104
251,44,4,210,314,104
252,45,4,210,314,104
278,43,4,245,314,69
281,48,4,245,314,69
292,30,2,248,317,69
294,41,2,248,317,69
304,36,2,266,317,51
316,42,2,280,317,37
324,14,2,283,317,34
326,33,2,283,317,34
327,47,2,283,317,34
305,2,0,280,318,38
307,10,0,280,318,38
308,15,0,280,318,38
317,3,0,281,318,37
321,0,0,283,318,35
325,17,0,283,318,35
328,24,0,284,318,34
299,38,3,257,326,69
318,31,3,281,326,45
319,37,3,281,326,45
320,46,3,281,326,45
322,8,3,283,326,43
329,25,3,285,326,41
334,13,3,292,326,34
335,20,3,292,326,34
315,34,1,280,349,69
332,1,1,292,349,57
333,9,1,292,349,57
347,22,1,315,349,34
348,26,1,315,349,34
353,44,1,315,349,34
355,48,1,315,349,34
310,19,4,280,349,69
312,23,4,280,349,69
323,12,4,283,349,66
331,40,4,285,349,64
344,11,4,315,349,34
346,18,4,315,349,34
352,43,4,315,349,34
354,45,4,315,349,34
330,35,2,285,352,67
343,7,2,315,352,37
349,28,2,315,352,37
350,29,2,315,352,37
358,33,2,318,352,34
338,39,0,292,353,61
340,4,0,315,353,38
341,5,0,315,353,38
345,16,0,315,353,38
351,32,0,315,353,38
356,14,0,318,353,35
362,47,0,318,353,35
364,3,0,319,353,34
336,21,3,292,361,69
337,27,3,292,361,69
339,49,3,292,361,69
342,6,3,315,361,46
359,36,3,318,361,43
367,17,3,319,361,42
368,24,3,319,361,42
370,8,3,327,361,34
360,41,1,318,384,66
361,42,1,318,384,66
378,1,1,350,384,34
380,11,1,350,384,34
382,18,1,350,384,34
383,19,1,350,384,34
387,40,1,350,384,34
357,30,4,318,384,66
363,0,4,319,384,65
369,2,4,322,384,62
375,38,4,327,384,57
376,46,4,327,384,57
377,31,4,329,384,55
381,12,4,350,384,34
386,34,4,350,384,34
371,13,2,327,387,60
384,22,2,350,387,37
385,23,2,350,387,37
389,44,2,350,387,37
390,45,2,350,387,37
391,48,2,350,387,37
393,28,2,353,387,34
394,29,2,353,387,34
365,10,0,319,388,69
366,15,0,319,388,69
379,9,0,350,388,38
388,43,0,350,388,38
392,26,0,351,388,37
397,4,0,354,388,34
401,16,0,354,388,34
402,32,0,354,388,34
372,20,3,327,396,69
373,25,3,327,396,69
374,37,3,327,396,69
399,7,3,354,396,42
400,14,3,354,396,42
403,33,3,354,396,42
406,6,3,362,396,34
408,17,3,362,396,34
407,8,1,362,402,40
418,12,1,385,402,17
425,41,1,385,402,17
427,46,1,385,402,17
398,5,4,354,419,65
415,1,4,385,419,34
416,2,4,385,419,34
417,11,4,385,419,34
420,30,4,385,419,34
422,34,4,385,419,34
424,40,4,385,419,34
433,45,1,388,420,32
439,16,1,389,420,31
450,25,1,398,420,22
452,8,1,403,420,17
395,35,2,353,422,69
396,3,2,354,422,68
404,39,2,354,422,68
413,49,2,362,422,60
419,19,2,385,422,37
421,31,2,385,422,37
405,47,0,354,423,69
409,21,0,362,423,61
414,0,0,385,423,38
423,38,0,385,423,38
426,42,0,385,423,38
428,18,0,387,423,36
429,22,0,388,423,35
